trip_distance_id,trip_distance
354,0
872,0
1055,0
1118,0
1119,0
1309,0
1337,0
1457,0
2205,0
2279,0
2544,0
2560,0
3133,0
3186,0
4003,0
4036,0
4156,0
4820,0
5126,0
5196,0
5462,0
5597,0
5847,0
5925,0
6465,0
6487,0
6584,0
6585,0
6783,0
7001,0
7140,0
7141,0
7404,0
7494,0
7495,0
7555,0
7596,0
7648,0
8039,0
8340,0
8415,0
8431,0
8566,0
9112,0
9200,0
9212,0
9548,0
9775,0
9970,0
10010,0
10429,0
10451,0
10988,0
11211,0
11280,0
11483,0
11735,0
11818,0
11889,0
11922,0
12148,0
12215,0
12424,0
12799,0
12800,0
12909,0
13786,0
13787,0
13974,0
14071,0
14261,0
14310,0
14423,0
14823,0
15808,0
16656,0
16788,0
17208,0
17458,0
17522,0
17717,0
18528,0
18681,0
19039,0
19475,0
19738,0
20163,0
20588,0
20781,0
20882,0
21553,0
22307,0
22453,0
22662,0
22933,0
22951,0
23054,0
23673,0
23947,0
24411,0
24455,0
24486,0
24564,0
24608,0
25527,0
25983,0
26048,0
26078,0
26103,0
26333,0
26629,0
26631,0
26712,0
26744,0
27678,0
27887,0
28020,0
28177,0
28320,0
28459,0
28795,0
28951,0
29013,0
29394,0
29620,0
29996,0
30292,0
30293,0
30580,0
30741,0
30986,0
31174,0
31591,0
32019,0
32085,0
32111,0
32222,0
32513,0
33058,0
33268,0
33722,0
34049,0
34477,0
34973,0
35132,0
35160,0
35419,0
35543,0
35547,0
35937,0
36592,0
36639,0
36969,0
36983,0
37235,0
37237,0
37258,0
37299,0
37300,0
37504,0
37627,0
37685,0
37923,0
38127,0
38163,0
38454,0
38793,0
38922,0
39077,0
39652,0
40162,0
40182,0
40360,0
40469,0
40491,0
40702,0
40824,0
41453,0
41463,0
42040,0
42422,0
42663,0
42883,0
42966,0
43756,0
43883,0
43900,0
44005,0
44067,0
44328,0
44443,0
44446,0
44523,0
44732,0
44733,0
44990,0
45168,0
45378,0
46202,0
46306,0
46461,0
46854,0
47583,0
47652,0
47691,0
47872,0
47895,0
48146,0
48307,0
48488,0
48557,0
48591,0
49109,0
49290,0
49402,0
49535,0
49750,0
49751,0
49796,0
50293,0
50300,0
50638,0
50978,0
51501,0
51648,0
51864,0
51892,0
52076,0
52281,0
52520,0
52626,0
53053,0
53193,0
53636,0
53708,0
53932,0
54122,0
54560,0
54936,0
55105,0
55366,0
55549,0
55623,0
55712,0
55831,0
55891,0
56936,0
57276,0
57663,0
58490,0
58511,0
58567,0
58634,0
58677,0
58929,0
59147,0
59851,0
59996,0
60434,0
60435,0
60843,0
61068,0
61161,0
61176,0
61243,0
61342,0
61343,0
61784,0
62015,0
62742,0
63125,0
63213,0
63227,0
63493,0
64205,0
64412,0
64700,0
64776,0
64875,0
64899,0
65022,0
65093,0
65404,0
65452,0
65540,0
65569,0
65570,0
65726,0
65752,0
65769,0
65818,0
65858,0
66031,0
66032,0
66038,0
66054,0
66182,0
66222,0
66461,0
66840,0
67305,0
67377,0
67464,0
67859,0
68038,0
68228,0
68269,0
68367,0
68685,0
68687,0
68839,0
68913,0
68914,0
70040,0
70143,0
70158,0
70181,0
70315,0
70495,0
70546,0
70631,0
70691,0
70696,0
70719,0
70753,0
70760,0
70790,0
70850,0
70882,0
70992,0
71043,0
71102,0
71187,0
71191,0
71286,0
71297,0
71344,0
71424,0
71426,0
71487,0
71702,0
71716,0
71865,0
71885,0
71977,0
72178,0
72336,0
72442,0
72518,0
72833,0
72910,0
72984,0
72999,0
73096,0
73125,0
73168,0
73259,0
73280,0
73330,0
73334,0
73345,0
73349,0
73392,0
73400,0
73477,0
73678,0
73703,0
73771,0
74027,0
74089,0
74222,0
74257,0
74609,0
74641,0
74693,0
74727,0
74814,0
74818,0
74824,0
75095,0
75146,0
75165,0
75349,0
75368,0
75398,0
75406,0
75510,0
75530,0
75888,0
76073,0
76134,0
76740,0
76742,0
76891,0
77043,0
77168,0
77222,0
77561,0
77713,0
78537,0
78819,0
78962,0
78963,0
79103,0
79158,0
79209,0
79298,0
79462,0
79727,0
79871,0
80009,0
80211,0
80255,0
80283,0
80551,0
80641,0
80887,0
81018,0
81033,0
81168,0
81408,0
81413,0
81448,0
81497,0
81553,0
81630,0
81712,0
81729,0
81733,0
81746,0
81770,0
81800,0
81839,0
81860,0
82446,0
82474,0
82486,0
83149,0
83278,0
83328,0
83551,0
83640,0
83724,0
84011,0
84050,0
84141,0
84153,0
84183,0
84185,0
84186,0
84240,0
84261,0
84394,0
84433,0
84461,0
84635,0
84930,0
85202,0
85224,0
85288,0
85463,0
85615,0
85800,0
86025,0
86026,0
86191,0
86215,0
86360,0
86413,0
86465,0
86612,0
86812,0
86927,0
86952,0
87035,0
87279,0
87280,0
87340,0
87389,0
87405,0
87430,0
87431,0
87507,0
87680,0
87701,0
87830,0
87916,0
87963,0
87972,0
88158,0
88267,0
88269,0
88279,0
88303,0
88310,0
88627,0
88628,0
88809,0
88861,0
88874,0
88889,0
88926,0
88927,0
89100,0
89144,0
89204,0
89242,0
89250,0
89366,0
89424,0
89441,0
89661,0
89662,0
89683,0
89725,0
89732,0
89829,0
89879,0
89931,0
89945,0
89947,0
90041,0
90178,0
90211,0
90634,0
90943,0
90951,0
90961,0
91015,0
91019,0
91081,0
91097,0
91341,0
91387,0
91628,0
91870,0
92113,0
92408,0
92415,0
92480,0
92721,0
92722,0
92805,0
92816,0
93210,0
93266,0
93306,0
93408,0
93602,0
93627,0
93665,0
93681,0
93687,0
93803,0
93844,0
94166,0
94594,0
94797,0
95175,0
95281,0
95450,0
95716,0
95930,0
95934,0
96115,0
96518,0
97118,0
97439,0
97784,0
97883,0
98133,0
98239,0
98343,0
98364,0
98390,0
98736,0
98850,0
98889,0
99118,0
99385,0
99529,0
99675,0
99683,0
99975,0
15,2
1348,2
1850,2
1851,2
3386,2
3478,2
4144,2
4238,2
4536,2
4725,2
5207,2
5696,2
6437,2
6792,2
6809,2
7443,2
7481,2
7728,2
7811,2
7848,2
9009,2
9345,2
10178,2
11195,2
12996,2
13758,2
14339,2
14908,2
15005,2
15970,2
16051,2
16332,2
16338,2
16554,2
16877,2
16909,2
18118,2
18636,2
18959,2
18961,2
19209,2
19551,2
19591,2
20141,2
20180,2
21006,2
21408,2
21668,2
21871,2
22044,2
22063,2
22068,2
22697,2
23270,2
23484,2
23613,2
23678,2
24265,2
24467,2
24712,2
24758,2
25094,2
25316,2
25433,2
25824,2
27623,2
27743,2
27842,2
28257,2
28598,2
29117,2
29313,2
30428,2
30663,2
31513,2
32250,2
32482,2
33266,2
33348,2
33691,2
33936,2
34024,2
34314,2
34886,2
34916,2
35542,2
36027,2
36403,2
36528,2
36770,2
38209,2
38273,2
38641,2
38999,2
39172,2
39401,2
40076,2
40518,2
41064,2
41701,2
42465,2
43157,2
43295,2
44561,2
44648,2
44699,2
45188,2
47083,2
47658,2
48741,2
49078,2
49760,2
50188,2
50289,2
52572,2
53180,2
53617,2
53931,2
53943,2
54615,2
54840,2
56128,2
56235,2
56922,2
57673,2
57953,2
58300,2
58505,2
58667,2
60275,2
61070,2
61082,2
61568,2
61666,2
62024,2
62254,2
62411,2
62682,2
64303,2
64759,2
64856,2
64878,2
65094,2
65146,2
65310,2
65351,2
65432,2
65688,2
65745,2
65810,2
65849,2
65937,2
65938,2
66132,2
66237,2
66433,2
66630,2
66652,2
66834,2
67041,2
67826,2
67964,2
68348,2
68754,2
69544,2
70296,2
70496,2
70570,2
70587,2
70684,2
70720,2
70734,2
70844,2
70953,2
71067,2
71099,2
71171,2
71186,2
71257,2
71607,2
71624,2
71710,2
71769,2
71836,2
72023,2
72134,2
72185,2
72191,2
72344,2
72693,2
72900,2
73150,2
73231,2
73278,2
73616,2
73633,2
73639,2
73645,2
73767,2
73827,2
73856,2
73912,2
73916,2
73969,2
73988,2
73996,2
74041,2
74079,2
74095,2
74150,2
74336,2
74731,2
74777,2
74998,2
75046,2
75186,2
75287,2
75359,2
75370,2
75394,2
75422,2
75682,2
