passenger_count_id,passenger_count
13787,0
83120,0
84183,0
0,1
1,1
7,1
8,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
20,1
21,1
24,1
25,1
28,1
29,1
30,1
33,1
34,1
35,1
37,1
38,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
56,1
57,1
59,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
79,1
80,1
81,1
83,1
84,1
87,1
89,1
90,1
93,1
94,1
95,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
109,1
110,1
111,1
112,1
113,1
114,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
125,1
126,1
128,1
131,1
132,1
133,1
134,1
138,1
140,1
142,1
143,1
144,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
154,1
155,1
156,1
157,1
159,1
161,1
162,1
163,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
176,1
177,1
179,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
210,1
211,1
212,1
213,1
214,1
217,1
218,1
221,1
223,1
225,1
226,1
227,1
229,1
230,1
231,1
232,1
234,1
237,1
238,1
240,1
243,1
244,1
245,1
246,1
247,1
248,1
250,1
251,1
252,1
253,1
255,1
257,1
258,1
260,1
261,1
263,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
277,1
278,1
281,1
283,1
284,1
285,1
287,1
290,1
292,1
293,1
299,1
302,1
303,1
304,1
305,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
341,1
342,1
343,1
345,1
347,1
348,1
350,1
351,1
352,1
356,1
357,1
359,1
360,1
361,1
362,1
363,1
364,1
366,1
367,1
368,1
369,1
370,1
371,1
373,1
374,1
377,1
378,1
380,1
382,1
383,1
385,1
386,1
387,1
388,1
389,1
390,1
392,1
394,1
395,1
397,1
398,1
399,1
401,1
402,1
403,1
406,1
407,1
408,1
410,1
412,1
413,1
414,1
416,1
418,1
421,1
422,1
423,1
424,1
425,1
426,1
428,1
429,1
430,1
431,1
432,1
433,1
437,1
442,1
445,1
447,1
450,1
451,1
455,1
456,1
457,1
458,1
461,1
463,1
464,1
465,1
466,1
467,1
469,1
470,1
471,1
472,1
473,1
474,1
477,1
478,1
479,1
480,1
481,1
482,1
485,1
488,1
490,1
492,1
493,1
495,1
497,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
512,1
514,1
515,1
516,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
531,1
532,1
534,1
535,1
539,1
541,1
542,1
543,1
544,1
549,1
550,1
551,1
554,1
557,1
559,1
560,1
562,1
563,1
564,1
567,1
569,1
572,1
574,1
577,1
578,1
580,1
582,1
583,1
584,1
585,1
586,1
589,1
590,1
591,1
593,1
595,1
596,1
599,1
600,1
601,1
610,1
611,1
612,1
613,1
616,1
617,1
619,1
620,1
621,1
625,1
627,1
632,1
634,1
635,1
639,1
640,1
645,1
646,1
647,1
649,1
650,1
651,1
652,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
663,1
664,1
665,1
672,1
674,1
675,1
676,1
677,1
681,1
685,1
688,1
690,1
691,1
692,1
694,1
696,1
697,1
700,1
702,1
703,1
704,1
705,1
706,1
707,1
710,1
712,1
713,1
715,1
717,1
719,1
722,1
723,1
724,1
726,1
730,1
731,1
734,1
735,1
736,1
737,1
738,1
739,1
744,1
745,1
747,1
748,1
749,1
750,1
751,1
754,1
755,1
757,1
758,1
761,1
762,1
763,1
764,1
766,1
767,1
769,1
770,1
772,1
774,1
775,1
776,1
779,1
780,1
781,1
783,1
784,1
786,1
787,1
788,1
789,1
791,1
793,1
794,1
795,1
797,1
800,1
801,1
802,1
803,1
806,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,1
821,1
822,1
824,1
826,1
827,1
828,1
829,1
830,1
831,1
834,1
835,1
836,1
837,1
838,1
840,1
842,1
844,1
845,1
846,1
848,1
849,1
850,1
851,1
852,1
853,1
856,1
857,1
859,1
860,1
863,1
864,1
866,1
867,1
869,1
870,1
871,1
874,1
875,1
880,1
881,1
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,1
892,1
893,1
896,1
898,1
899,1
901,1
902,1
903,1
904,1
905,1
906,1
907,1
909,1
910,1
911,1
914,1
915,1
916,1
917,1
918,1
921,1
923,1
924,1
927,1
929,1
930,1
931,1
936,1
937,1
938,1
940,1
941,1
943,1
944,1
946,1
947,1
948,1
949,1
950,1
952,1
955,1
956,1
959,1
961,1
962,1
963,1
965,1
966,1
970,1
973,1
976,1
978,1
981,1
984,1
987,1
990,1
995,1
996,1
998,1
1001,1
1002,1
1003,1
1006,1
1007,1
1008,1
1009,1
1011,1
1013,1
1014,1
1015,1
1016,1
1017,1
1019,1
1021,1
1022,1
1025,1
1026,1
1028,1
1030,1
1033,1
1035,1
1037,1
1038,1
1039,1
1040,1
1042,1
1043,1
1045,1
1047,1
1048,1
1050,1
1051,1
1053,1
1055,1
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1067,1
1069,1
1070,1
1071,1
1073,1
1074,1
1075,1
1076,1
1079,1
1080,1
1081,1
1082,1
1083,1
1085,1
1088,1
1089,1
1090,1
1091,1
1092,1
1093,1
1094,1
1095,1
1096,1
1098,1
1101,1
1103,1
1104,1
1105,1
1106,1
1108,1
1109,1
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,1
1118,1
1119,1
1121,1
1124,1
1125,1
1126,1
